id,codigomex2,nombre_del_alimento,energ_kcal,carbohydrt,lipid_tot,protein
1986,23009,CANELA EN RAJA,0,0,0,0
1987,23010,CHILE EN POLVO CON SAL (TAJIN),282,49.7,14.28,13.46
1988,23011,CLAVO,274,65.53,13,5.97
1989,23012,COMINO,375,44.24,22.27,17.81
1990,23013,"CONSOME (KNORR SUIZA, ROSA BLANCA, ETC.)",219.98,23.23,10.76,7.56
1991,23014,FLOR DE JAMAICA,194.5,41,0.3,3.9
1992,23015,HOJAS DE LAUREL,313,74.97,8.36,7.61
1993,23016,"HOJAS PARA TE (NARANJO, TILA, LIMON) Y DE AGUACATE",1,0.3,0,0
1994,23017,JENGIBRE,80,17.77,0.75,1.82
1995,23018,LINAZA,440,41.4,25.4,11.8
1996,23019,MANZANILLA,1,0.2,0,0
1997,23020,MOSTAZA,76.67,6.53,3.3,04.07
1998,23021,OREGANO,265,68.92,4.28,9
1999,23022,PACAYA,45,8.3,0.7,4
2000,23023,PAPRIKA,318.96,48.38,9.6,9.76
2001,23024,PIMIENTA,251,63.95,3.26,10.39
2002,23025,POLEN DE ABEJA,356.4,66.8,2.92,18.72
2003,23026,POLVO PARA HORNEAR,0,0,0,0
2004,23027,ROMERO SECO,331,64.06,15.22,4.88
2005,23028,SAL,0,0,0,0
2006,23029,SAL CON AJO O CEBOLLA,331,72.73,0.73,16.55
2007,23030,"SALSA DE SOYA, SALSA INGLESA, JUGO MAGGI",70.4,12.34,0.03,4.6
2008,23031,SEMILLA DE CHAN,490,43.85,30.75,15.62
2009,23032,SEMILLA DE CHIA,536,64,32.8,17.2
2010,23033,SEMILLA DE CILANTRO Y MOSTAZA,392,41.35,25.27,18.07
2011,23034,TEQUESQUITE,10,23.524.470.749.632.500,847.599.528.662.421,7.586.623.687.561.210
2012,23035,TOMILLO,276,63.94,7.43,9.11
2013,23036,VAINILLA EXTRACTO,288,12.65,0.06,0.06
2014,23037,VINAGRE (TODOS TIPOS),21,0.93,0,0
2015,24000,ALBUMINA DE HUEVO,429.23,12.31,03.08,73.85
2016,24001,"ALOE HERBALIFE CON AGUA SOLA, PREPARACI�N ESTANDARIZADA",28.8,7.21,0,0
2017,24002,ALPISTE,232.1,33.5,3.12,7.8
2018,24003,CAPSULAS DE CARNITINA,591,12.67,19.71,50.7
2019,24004,CLOROFILA,74,12,2,2
2020,24005,COLÁGENO,361.5,0,0,90.4
2021,24006,COMPLEJO B,0,0,0,0
2022,24007,COMPLEMENTO OPORTUNIDADES PARA MUJER EN POLVO,480.3,48.7,21.5,23
2023,24008,COMPLEMENTO OPORTUNIDADES PARA MUJER PREPARADO,196.8,20.24,8.96,9.6
2024,24009,COMPLEMENTO PARA NINOS OPORTUNIDADES EN POLVO,439.48,63.4,15,12.72
2025,24010,COMPLEMENTO PARA NINOS OPORTUNIDADES PREPARADO (PROMEDIO),271.21,38.39,9.45,8.14
2026,24011,COMPLEMENTO PARA NINOS OPORTUNIDADES PREPARADO CON AGUA,259.29,37.41,8.85,7.5
2027,24012,COMPLEMENTO PARA NINOS OPORTUNIDADES PREPARADO CON LECHE,283.12,39.37,10.06,8.77
2028,24013,EMULSION DE SCOTT/ACEITE DE HIGADO DE BACALAO,902,0,100,0
2029,24014,ENSURE EN POLVO,443.31,62.65,14.23,16.16
2030,24015,ENSURE LÍQUIDO,99.81,15.82,2.43,3.65
2031,24016,FEM,240,60,0,0
2032,24017,GOMAS DE VITAMINA C (COMBIVENT),333.3,83.3,0,0
2033,24018,"HERBALIFE, ALOE CONCENTRADO",240,60.1,0,0
2034,24019,"HERBALIFE, POLVO PARA PREPARAR BEBIDAS",352,12.5,0.2,75
2035,24020,"HERBALIFE, PROTEINA EN POLVO",375,35,8.8,35
2036,24021,"HIERBAS MEDICINALES (NEEM, RUDA, PRODIGIOSA)",19.788.440.220.156.500,23.524.470.749.632.500,847.599.528.662.421,7.586.623.687.561.210
2037,24022,LINAZA CANADIENSE,425,10,43,29
2038,24023,MALTEADA HERBALIFE PREPARADA,82.8,9.32,2.2,6.43
2039,24024,METAMUCIL (FIBRA),344.83,86.2,0,0
2040,24025,PROTEÍNAS,378.89,8.67,4.33,77.93
2041,24026,SLIM FAST (POLVO),308.4,54.8,2.4,16.9
2042,24027,SUERO ORAL,263.4,65.9,847.599.528.662.421,7.586.623.687.561.210
2043,24028,SUPLEMENTO DE ALCACHOFA,87,8.25,5.25,2.25
2044,24029,SUSPENSION DE CALCIO Y VITAMINA D,22,5.5,0,0
2045,24030,VITANINO (OPORTUNIDADES),0,0,0,0
2046,,,19.788.440.220.156.500,23.524.470.749.632.500,847.599.528.662.421,7.586.623.687.561.210
2047,,,19.788.440.220.156.500,23.524.470.749.632.500,847.599.528.662.421,7.586.623.687.561.210
2048,,,19.788.440.220.156.500,23.524.470.749.632.500,847.599.528.662.421,7.586.623.687.561.210
